Código;Município;Receita média;Coeficiente;Participação 2025;Diferença p.p.;Anos estimados
3200102;Afonso Cláudio;45843671.075251;0.004452685;0.004340389;0.000112296;0
3200201;Alegre;28458019.173475;0.002764059;0.002229514;0.000534545;4
3200300;Alfredo Chaves;38531798.780229;0.003742500;0.003908534;-0.000166034;0
3200359;Alto Rio Novo;13577339.183492;0.001318734;0.001611580;-0.000292846;0
3200409;Anchieta;199186291.315658;0.019346482;0.025476692;-0.006130209;0
3200508;Apiacá;11869893.663848;0.001152894;0.001482696;-0.000329802;0
3200607;Aracruz;350706841.753356;0.034063307;0.043059443;-0.008996136;0
3200706;Atilio Vivacqua;22379046.048793;0.002173623;0.002527049;-0.000353426;0
3200805;Baixo Guandu;46047754.304882;0.004472507;0.004656533;-0.000184026;0
3200904;Barra de São Francisco;60788478.977762;0.005904238;0.005912868;-0.000008630;0
3201001;Boa Esperança;24707434.793543;0.002399773;0.003053054;-0.000653281;0
3201100;Bom Jesus do Norte;11768276.672391;0.001143024;0.001601682;-0.000458658;0
3201159;Brejetuba;23186698.644025;0.002252068;0.001908151;0.000343916;4
3201209;Cachoeiro de Itapemirim;247271065.874694;0.024016840;0.023610146;0.000406694;0
3201308;Cariacica;423458342.829553;0.041129484;0.034675474;0.006454010;4
3201407;Castelo;58200063.467866;0.005652831;0.005708106;-0.000055275;0
3201506;Colatina;163433029.684109;0.015873855;0.016811518;-0.000937664;0
3201605;Conceição da Barra;45338175.728184;0.004403587;0.004357402;0.000046185;0
3201704;Conceição do Castelo;26105078.336169;0.002535523;0.002360943;0.000174580;0
3201803;Divino de São Lourenço;10764486.892562;0.001045529;0.001132699;-0.000087170;0
3201902;Domingos Martins;79451930.803482;0.007716974;0.007565192;0.000151781;0
3202009;Dores do Rio Preto;16052640.068392;0.001559154;0.002127241;-0.000568087;0
3202108;Ecoporanga;40308383.243988;0.003915056;0.003564798;0.000350258;0
3202207;Fundão;25701578.875522;0.002496332;0.003186923;-0.000690591;0
3202256;Governador Lindenberg;25820856.881160;0.002507917;0.003124200;-0.000616283;0
3202405;Guarapari;95636250.147054;0.009288917;0.009551410;-0.000262492;0
3202306;Guaçuí;26168094.447244;0.002541644;0.002737418;-0.000195774;0
3202454;Ibatiba;24491000.147026;0.002378752;0.002321408;0.000057344;0
3202504;Ibiraçu;18964983.646206;0.001842023;0.002324855;-0.000482832;0
3202553;Ibitirama;15026365.178324;0.001459474;0.001758817;-0.000299343;0
3202603;Iconha;23202245.653057;0.002253578;0.002215186;0.000038391;0
3202652;Irupi;18700725.276564;0.001816356;0.002014807;-0.000198451;0
3202702;Itaguaçu;21711813.246039;0.002108816;0.002512829;-0.000404013;0
3202801;Itapemirim;158043159.165897;0.015350349;0.020356283;-0.005005933;0
3202900;Itarana;22050533.961062;0.002141715;0.002575904;-0.000434189;0
3203007;Iúna;30141120.678925;0.002927534;0.003376405;-0.000448871;0
3203056;Jaguaré;60418367.965013;0.005868290;0.007457530;-0.001589241;0
3203106;Jerônimo Monteiro;12944356.404242;0.001257254;0.001293834;-0.000036580;0
