UF;Receita média;Coeficiente;Participação 2025;Diferença p.p.;Tratamento
AC;1760064817.122755;0.170950835;0.161739783;0.009211052;componente_estadual_75pct_icms
AL;5928604672.796638;0.575831020;0.611415320;-0.035584300;componente_estadual_75pct_icms
AM;13260975757.536621;1.288006473;1.231422375;0.056584098;componente_estadual_75pct_icms
AP;1281729814.242693;0.124491314;0.124051089;0.000440225;componente_estadual_75pct_icms
BA;31257577761.825340;3.035972860;3.019562536;0.016410325;componente_estadual_75pct_icms
CE;16036261597.375080;1.557563269;1.546314892;0.011248376;componente_estadual_75pct_icms
DF;16793141776.240055;1.631077208;1.588887193;0.042190015;DF_unificado
ES;16050443891.690109;1.558940761;1.640466983;-0.081526222;componente_estadual_75pct_icms
GO;25259842125.694832;2.453427317;2.196949981;0.256477336;componente_estadual_75pct_icms
MA;10244856372.836514;0.995058099;1.133775151;-0.138717052;componente_estadual_75pct_icms
MG;66941918984.619202;6.501906539;6.309733299;0.192173240;componente_estadual_75pct_icms
MS;15297541423.818813;1.485813167;1.831690951;-0.345877784;componente_estadual_75pct_icms
MT;26592726580.019360;2.582887158;2.987539719;-0.404652562;componente_estadual_75pct_icms
PA;18385424930.565483;1.785731816;1.827047897;-0.041316080;componente_estadual_75pct_icms
PB;7566390378.522323;0.734905181;0.759031126;-0.024125945;componente_estadual_75pct_icms
PE;20964326023.429825;2.036214237;1.997010105;0.039204132;componente_estadual_75pct_icms
PI;5864832759.057237;0.569637008;0.611554076;-0.041917068;componente_estadual_75pct_icms
PR;40423856656.269562;3.926271340;3.842038428;0.084232912;componente_estadual_75pct_icms
RJ;44850842528.481590;4.356253761;4.050501951;0.305751810;componente_estadual_75pct_icms
RN;7143063102.414526;0.693788427;0.683559676;0.010228751;componente_estadual_75pct_icms
RO;6462635165.170242;0.627700109;0.649364463;-0.021664354;componente_estadual_75pct_icms
RR;1579927526.940660;0.153454536;0.156114369;-0.002659833;componente_estadual_75pct_icms
RS;43877124466.432129;4.261678883;3.897335138;0.364343745;componente_estadual_75pct_icms
SC;32567120277.266953;3.163165555;3.290477901;-0.127312346;componente_estadual_75pct_icms
SE;4399124492.058118;0.427276313;0.425695149;0.001581164;componente_estadual_75pct_icms
SP;188334726920.638672;18.292496109;17.269639595;1.022856514;componente_estadual_75pct_icms
TO;6104757088.940536;0.592940278;0.632753081;-0.039812804;componente_estadual_75pct_icms
