UF;Estado_SEFAZ_ES;Estado_SEFAZ_BA;Diferenca_estado_BA_menos_ES;Municipios_SEFAZ_ES;Municipios_SEFAZ_BA;Diferenca_municipios_BA_menos_ES
AC;0.167984484;0.170000000;0.002015516;0.075883674;0.080000000;0.004116326
AL;0.623968717;0.630000000;0.006031283;0.267991087;0.270000000;0.002008913
AM;1.329250181;1.350000000;0.020749819;0.517962742;0.590000000;0.072037258
AP;0.122350941;0.120000000;-0.002350941;0.056255131;0.060000000;0.003744869
BA;3.091455583;3.150000000;0.058544417;1.481781287;1.510000000;0.028218713
CE;1.603563977;1.630000000;0.026436023;0.771754698;0.790000000;0.018245302
DF;1.613753692;1.650000000;0.036246308;;;
ES;1.541814656;1.570000000;0.028185344;0.743824432;0.770000000;0.026175568
GO;2.645654134;2.280000000;-0.365654134;1.002342901;1.010000000;0.007657099
MA;1.045623098;1.070000000;0.024376902;0.490373156;0.500000000;0.009626844
MG;6.484131727;6.610000000;0.125868273;3.071586349;3.270000000;0.198413651
MS;1.539059430;1.300000000;-0.239059430;0.567664072;0.580000000;0.012335928
MT;2.833277105;1.780000000;-1.053277105;0.780805167;0.790000000;0.009194833
PA;1.754193467;1.790000000;0.035806533;0.843140024;0.850000000;0.006859976
PB;0.742356958;0.760000000;0.017643042;0.299399037;0.330000000;0.030600963
PE;2.057391463;2.090000000;0.032608537;0.966913145;0.990000000;0.023086855
PI;0.583791857;0.600000000;0.016208143;0.265770796;0.270000000;0.004229204
PR;3.957588467;4.000000000;0.042411533;1.913905223;1.960000000;0.046094777
RJ;5.010184399;5.110000000;0.099815601;2.878808673;2.930000000;0.051191327
RN;0.697021111;0.710000000;0.012978889;0.344516273;0.350000000;0.005483727
RO;0.641474760;0.570000000;-0.071474760;0.239532749;0.240000000;0.000467251
RR;0.151925384;0.150000000;-0.001925384;0.068337742;0.070000000;0.001662258
RS;4.238441390;4.320000000;0.081558610;1.924859228;1.950000000;0.025140772
SC;3.103281640;3.160000000;0.056718360;1.479754808;1.520000000;0.040245192
SE;0.437053286;0.450000000;0.012946714;0.217037559;0.220000000;0.002962441
SP;18.080508018;18.440000000;0.359491982;11.793391256;12.000000000;0.206608744
TO;0.644763122;0.440000000;-0.204763122;0.194545747;0.190000000;-0.004545747
