UF;Receita_media_estado;Coeficiente_estado;Participacao_estado_2025;Diferenca_estado_pp;Receita_media_municipios;Coeficiente_municipios;Participacao_municipios_2025;Diferenca_municipios_pp;Coeficiente_total;Participacao_total_2025;Diferenca_total_pp;Anos_cota_declarada
AC;1753011227.9737391;0.16798448367711186;0.15957276203176124;0.008411721645350617;791888210.0493016;0.07588367374513873;0.0751687422930188;0.0007149314521199268;0.24386815742225057;0.23474150432478003;0.009126653097470544;0
AL;6511459531.83544;0.6239687173619008;0.6645178064837148;-0.040549089121813986;2796635586.23868;0.26799108727350335;0.2956788899281704;-0.027687802654667026;0.8919598046354043;0.9601966964118852;-0.06823689177648096;7
AM;13871462655.65111;1.3292501809867459;1.2208728318224302;0.10837734916431563;5405228407.295742;0.5179627424326086;0.5876324442317494;-0.06966970179914078;1.8472129234193546;1.8085052760541798;0.038707647365174846;1
AP;1276799909.0407135;0.12235094108729844;0.12239096461847325;-4.002353117481261e-05;587053484.3376578;0.05625513110449297;0.054534723389198014;0.0017204077152949554;0.1786060721917914;0.17692568800767128;0.001680384184120115;7
BA;32261053098.56928;3.091455582921249;3.031996949304517;0.05945863361673176;15463209322.261486;1.4817812872731417;1.5339342268649423;-0.05215293959180056;4.573236870194391;4.565931176169459;0.0073056940249314195;2
CE;16734079211.414848;1.6035639768209888;1.5508298296432248;0.052734147177764035;8053688180.189022;0.7717546978916318;0.8015836706167243;-0.02982897272509255;2.375318674712621;2.3524135002599493;0.022905174452671595;5
DF;13317031084.458292;1.276121085328432;1.2073004226526352;0.06882066267579678;;;;;1.6137536922645337;1.577456684743743;0.03629700752079068;
ES;16089690809.814528;1.5418146558794057;1.6288055701417696;-0.08699091426236394;7762220373.2532215;0.743824432371767;0.8046466448880213;-0.060822212516254304;2.285639088251173;2.433452215029791;-0.14781312677861802;7
GO;27608867801.48234;2.6456541341737068;2.206009426017787;0.4396447081559196;10460003936.18607;1.002342901426697;1.0776090905782183;-0.07526618915152139;3.647997035600404;3.2836185165960057;0.36437851900439844;7
MA;10911656782.034615;1.0456230977542829;1.1439705142778;-0.0983474165235172;5117315774.077444;0.49037315586093727;0.5530265346940025;-0.06265337883306527;1.5359962536152203;1.6969970489718027;-0.1610007953565824;7
MG;67665509763.29951;6.484131726569134;6.331066880631425;0.15306484593770886;32053706623.752968;3.0715863487951514;3.11250838947954;-0.04092204068438843;9.555718075364284;9.443575270110966;0.11214280525331866;4
MS;16060938503.851088;1.539059430359614;1.9971413975888488;-0.4580819672292349;5923889334.226601;0.567664071564813;0.5870665583636616;-0.019402486798848595;2.106723501924427;2.58420795595251;-0.47748445402808315;7
MT;29566817527.299103;2.8332771045851652;3.3213860609543158;-0.4881089563691505;8148134845.350269;0.7808051671806823;0.8590281184191485;-0.07822295123846623;3.614082271765847;4.180414179373464;-0.5663319076076174;7
PA;18305981456.888554;1.7541934667427435;1.7973847146468807;-0.0431912479041372;8798633639.941475;0.8431400241389541;0.8711016539494233;-0.027961629810469235;2.597333490881698;2.668486368596304;-0.07115287771460599;4
PB;7746906467.87879;0.7423569583212;0.7621329979985731;-0.01977603967737318;3124394952.6565375;0.29939903666905965;0.30149537451059366;-0.002096337841534013;1.0417559949902597;1.0636283725091669;-0.021872377518907138;7
PE;21470020654.34844;2.057391462532993;2.018382738228073;0.03900872430492042;10090274785.65937;0.9669131452103635;0.9976665682237407;-0.030753423013377135;3.0243046077433564;3.0160493064518135;0.008255301291542949;2
PI;6092191719.010196;0.5837918571478967;0.6118028002567838;-0.028010943108887076;2773465618.1200204;0.2657707962285184;0.29400807081687386;-0.028237274588355454;0.8495626533764152;0.9058108710736577;-0.05624821769724242;7
