uf,estado,populacao_2025,participacao_populacional,coeficiente_fpe_dntcu221_2026_ref2027,coeficiente_fndr,repasse_2029_rs_bi,repasse_2030_rs_bi,repasse_2031_rs_bi,repasse_2032_rs_bi,repasse_2033_rs_bi,total_2029_2033_rs_bi
BA,Bahia,14870907,0.069678730874,0.08734013,0.082041710262,0.656333682096,1.312667364192,1.969001046288,2.625334728384,3.281668410480,9.845005231440
SP,São Paulo,46081801,0.215919675247,0.01621479,0.076126255574,0.609010044593,1.218020089186,1.827030133778,2.436040177872,3.045050222264,9.135150667693
MG,Minas Gerais,21393441,0.100240544703,0.04448133,0.061209094411,0.489672755287,0.979345510574,1.469018265862,1.958691021149,2.448363776436,7.345091329308
CE,Ceará,9268836,0.043429814278,0.06823860,0.060795964283,0.486367714267,0.972735428534,1.459103142801,1.945470857069,2.431838571336,7.295515714007
PE,Pernambuco,9562007,0.044803488608,0.06488912,0.058863430582,0.470907444659,0.941814889318,1.412722333978,1.883629778637,2.354537223296,7.063611669868
PA,Pará,8711196,0.040816950955,0.06544568,0.058057061286,0.464456490290,0.928912980580,1.393369470870,1.857825961160,2.322282451450,6.966846953350
MA,Maranhão,7018211,0.032884344949,0.06458273,0.055073214485,0.440585715878,0.881171431756,1.321757147634,1.762342863512,2.202928579390,6.608785838170
RJ,Rio de Janeiro,17223547,0.080702199006,0.02348519,0.040650292702,0.325202341614,0.650404683228,0.975607024843,1.300809366457,1.626011708071,4.878035124213
AM,Amazonas,4321616,0.020249250312,0.04768339,0.039453148094,0.315625184749,0.631250369498,0.946875554246,1.262500738995,1.578125923744,4.734377771233
PB,Paraíba,4164468,0.019512921774,0.04589695,0.037981741532,0.303853932258,0.607707864516,0.911561796775,1.215415729033,1.519269661291,4.557808983872
AL,Alagoas,3220848,0.015091520711,0.04498471,0.036016753213,0.288134025706,0.576268051413,0.864402077119,1.152536102826,1.440670128532,4.322010385596
PI,Piauí,3384547,0.015858544441,0.04293385,0.034811258332,0.278490066658,0.556980133317,0.835470199975,1.113960266634,1.392450333291,4.177350999876
AC,Acre,884372,0.004143790193,0.04324351,0.031513594058,0.252108752463,0.504217504926,0.756326257389,1.008435009852,1.260543762314,3.781631286944
PR,Paraná,11890517,0.055713893846,0.02104176,0.031443400154,0.251547201231,0.503094402461,0.754641603692,1.006188804922,1.257736006153,3.773208018460
RN,Rio Grande do Norte,3455236,0.016189762961,0.03512932,0.029447452888,0.235579623106,0.471159246213,0.706738869319,0.942318492426,1.177898115532,3.533694346596
SE,Sergipe,2299425,0.010774125327,0.03652348,0.028798673598,0.230389388785,0.460778777570,0.691168166354,0.921557555139,1.151946943924,3.455840831772
GO,Goiás,7423629,0.034783960871,0.02621695,0.028787053261,0.230296426090,0.460592852181,0.690889278271,0.921185704362,1.151482130452,3.454446391356
RS,Rio Grande do Sul,11233263,0.052634281784,0.01733606,0.027925526535,0.223404212282,0.446808424563,0.670212636845,0.893616849126,1.117021061408,3.351063184224
AP,Amapá,806517,0.003778994851,0.03650595,0.026687863455,0.213502907642,0.427005815285,0.640508722927,0.854011630570,1.067514538212,3.202543614636
RR,Roraima,738772,0.003461570660,0.03403202,0.024860885198,0.198887081584,0.397774163168,0.596661244752,0.795548326336,0.994435407920,2.983061075760
ES,Espírito Santo,4126854,0.019336678605,0.02358667,0.022311672582,0.178493380652,0.356986761304,0.535480141956,0.713973522608,0.892466903260,2.677400709782
SC,Santa Catarina,8187029,0.038360927840,0.01485863,0.021909319352,0.175274554816,0.350549109632,0.525823664448,0.701098219264,0.876372774080,2.629118322240
RO,Rondônia,1751950,0.008208890860,0.02667169,0.021132850258,0.169062802064,0.338125604128,0.507188406192,0.676251208256,0.845314010320,2.535942030960
TO,Tocantins,1586859,0.007435344811,0.02536873,0.019988714443,0.159909715546,0.319819431093,0.479729146639,0.639638862186,0.799548577732,2.398645733196
MT,Mato Grosso,3893659,0.018244026244,0.02073487,0.019987616873,0.159900934986,0.319801869971,0.479702804957,0.639603739942,0.799504674928,2.398514024784
MS,Mato Grosso do Sul,2924631,0.013703574123,0.01584679,0.015203825237,0.121630601895,0.243261203790,0.364891805686,0.486522407581,0.608153009476,1.824459028428
DF,Distrito Federal,2996899,0.014042191164,0.00672710,0.008921627349,0.071373018794,0.142746037587,0.214119056381,0.285492075174,0.356865093968,1.070595381904
