Simulação de impacto fiscal da zeragem do ICMS sobre diesel importado;Abril e maio de 2026
Elaboração: Eduardo Araújo;Data: março de 2026
Fonte 1 (âncora nacional): Ministério da Fazenda — estimativa de renúncia de R$ 3 bilhões/mês divulgada em 18 mar. 2026
Fonte 2 (pesos por UF): ANP — Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2025, Tabela 3.3: Vendas de óleo diesel pelas distribuidoras segundo grandes regiões e UFs
Lógica: Impacto bruto bimestral = R$ 6 bi (R$ 3 bi/mês × 2 meses). Impacto líquido = R$ 3 bi (após compensação federal de 50%). Distribuição por UF proporcional ao volume de vendas de diesel 2024. Partilha: 75% ente estadual e 25% municípios (art. 158 IV CF/88).
;;;;;;
UF;Estado;Volume diesel 2024 (1.000 m³);Peso nacional (%);Impacto bruto bimestral (R$ mi);Impacto líquido bimestral (R$ mi);Perda ente estadual (R$ mi);Perda municípios (R$ mi)
SP;São Paulo;13736.349;20.37%;1222.4;611.2;458.4;152.8
MG;Minas Gerais;8423.319;12.49%;749.6;374.8;281.1;93.7
PR;Paraná;6474.352;9.60%;576.2;288.1;216.1;72.0
RS;Rio Grande do Sul;4066.167;6.03%;361.8;180.9;135.7;45.2
MT;Mato Grosso;4015.459;5.96%;357.4;178.7;134.0;44.7
BA;Bahia;3665.403;5.44%;326.2;163.1;122.3;40.8
GO;Goiás;3491.928;5.18%;310.8;155.4;116.6;38.8
SC;Santa Catarina;3144.665;4.66%;279.8;139.9;104.9;35.0
PA;Pará;3015.380;4.47%;268.4;134.2;100.7;33.5
RJ;Rio de Janeiro;2850.235;4.23%;253.6;126.8;95.1;31.7
MS;Mato Grosso do Sul;1970.915;2.92%;175.4;87.7;65.8;21.9
MA;Maranhão;1723.892;2.56%;153.4;76.7;57.5;19.2
PE;Pernambuco;1585.337;2.35%;141.0;70.5;52.9;17.6
ES;Espírito Santo;1363.673;2.02%;121.4;60.7;45.5;15.2
TO;Tocantins;1259.811;1.87%;112.2;56.1;42.1;14.0
CE;Ceará;1233.275;1.83%;109.8;54.9;41.2;13.7
AM;Amazonas;1033.937;1.53%;92.0;46.0;34.5;11.5
RO;Rondônia;898.270;1.33%;80.0;40.0;30.0;10.0
PI;Piauí;695.390;1.03%;61.8;30.9;23.2;7.7
PB;Paraíba;525.041;0.78%;46.8;23.4;17.5;5.9
RN;Rio Grande do Norte;502.828;0.75%;44.8;22.4;16.8;5.6
AL;Alagoas;435.444;0.65%;38.8;19.4;14.6;4.8
DF;Distrito Federal;396.841;0.59%;35.4;17.7;13.3;4.4
SE;Sergipe;394.360;0.59%;35.0;17.5;13.1;4.4
RR;Roraima;250.516;0.37%;22.2;11.1;8.3;2.8
AC;Acre;166.596;0.25%;14.8;7.4;5.6;1.8
AP;Amapá;102.293;0.15%;9.2;4.6;3.5;1.1
TOTAL;Brasil;67421.678;100.00%;6000.2;3000.1;2250.3;749.8
;;;;;;
Notas:;
1. Volume ANP: dados de 2024 da Tabela 3.3 do Anuário Estatístico ANP 2025 (dados abertos: gov.br/anp). Unidade: 1.000 m³.
2. Impacto bruto bimestral = Peso(UF) × R$ 6.000 mi (= R$ 3 bi/mês × 2 meses).
3. Impacto líquido = Bruto × 50% (desconto da compensação federal de 50%).
4. Perda ente estadual = Líquido × 75%. Perda municípios = Líquido × 25% (art. 158 IV CF/88).
5. Pequenas diferenças de arredondamento no total são esperadas.
6. Assume-se que a participação do diesel importado é uniforme entre as UFs (hipótese simplificadora).
